Token	Language	Anglicism
nene	Spn	no
finalmente	Spn	no
habló	Spn	no
.	PUNCT	no
La	Spn	no
voz	Spn	no
hasta	Spn	no
entonces	Spn	no
desconocida	Spn	no
por	Spn	no
casi	Spn	no
todos	Spn	no
y	Spn	no
todas	Spn	no
se	Spn	no
escuchó	Spn	no
en	Spn	no
La	Spn	no
Cornisa	Spn	no
,	PUNCT	no
el	Spn	no
programa	Spn	no
de	Spn	no
Luis	Spn	no
Majul	Spn	no
.	PUNCT	no
El	Spn	no
nene	Spn	no
habló	Spn	no
allí	Spn	no
durante	Spn	no
24	NUM	no
segundos	Spn	no
:	PUNCT	no
“	PUNCT	no
Yo	Spn	no
lo	Spn	no
veía	Spn	no
con	Spn	no
mi	Spn	no
papá	Spn	no
”	PUNCT	no
,	PUNCT	no
dijo	Spn	no
.	PUNCT	no
“	PUNCT	no
Jugábamos	Spn	no
a	Spn	no
los	Spn	no
soldaditos	Spn	no
y	Spn	no
pasaba	Spn	no
y	Spn	no
por	Spn	no
ahí	Spn	no
te	Spn	no
rompía	Spn	no
todo	Spn	no
(	PUNCT	no
se	Spn	no
ríe	Spn	no
)	PUNCT	no
.	PUNCT	no
Así	Spn	no
hacía	Spn	no
Néstor	Spn	no
:	PUNCT	no
por	Spn	no
ahí	Spn	no
estabas	Spn	no
ahí	Spn	no
,	PUNCT	no
jugando	Spn	no
,	PUNCT	no
y	Spn	no
papá	Spn	no
te	Spn	no
rompía	Spn	no
todo	Spn	no
y	Spn	no
se	Spn	no
divertía	Spn	no
,	PUNCT	no
y	Spn	no
nosotros	Spn	no
nos	Spn	no
enojábamos	Spn	no
.	PUNCT	no
Pero	Spn	no
lo	Spn	no
volvíamos	Spn	no
a	Spn	no
armar	Spn	no
.	PUNCT	no
Creo	Spn	no
que	Spn	no
por	Spn	no
ahí	Spn	no
nos	Spn	no
estaba	Spn	no
enseñando	Spn	no
algo	Spn	no
,	PUNCT	no
en	Spn	no
ese	Spn	no
sentido	Spn	no
”	PUNCT	no
.	PUNCT	no
Veinticuatro	Spn	no
segundos	Spn	no
y	Spn	no
un	Spn	no
poco	Spn	no
más	Spn	no
.	PUNCT	no
Quienes	Spn	no
pudieron	Spn	no
ver	Spn	no
en	Spn	no
privado	Spn	no
la	Spn	no
película	Spn	no
sobre	Spn	no
Néstor	Spn	no
Kirchner	Spn	no
dirigida	Spn	no
por	Spn	no
Paula	Spn	no
de	Spn	no
Luque	Spn	no
relatan	Spn	no
que	Spn	no
también	Spn	no
incluye	Spn	no
unos	Spn	no
segundos	Spn	no
más	Spn	no
de	Spn	no
Máximo	Spn	no
diciendo	Spn	no
que	Spn	no
a	Spn	no
su	Spn	no
padre	Spn	no
le	Spn	no
hubiera	Spn	no
gustado	Spn	no
que	Spn	no
su	Spn	no
abuelo	Spn	no
,	PUNCT	no
el	Spn	no
padre	Spn	no
de	Spn	no
Néstor	Spn	no
,	PUNCT	no
lo	Spn	no
hubiera	Spn	no
visto	Spn	no
llegar	Spn	no
a	Spn	no
intendente	Spn	no
,	PUNCT	no
gobernador	Spn	no
y	Spn	no
presidente	Spn	no
.	PUNCT	no
La	Spn	no
voz	Spn	no
de	Spn	no
Máximo	Spn	no
fue	Spn	no
trend	Eng-UnadaptedAng	yes
topic	Eng-UnadaptedAng	yes
en	Spn	no
Twitter	Eng-NE	no
el	Spn	no
30	NUM	no
de	Spn	no
octubre	Spn	no
:	PUNCT	no
“	PUNCT	no
Más	Spn	no
allá	Spn	no
de	Spn	no
escuchar	Spn	no
LA	Spn	no
VOZ	Spn	no
del	Spn	no
silente	Spn	no
Máximo	Spn	no
,	PUNCT	no
le	Spn	no
prestaron	Spn	no
atención	Spn	no
a	Spn	no
la	Spn	no
anécdota	Spn	no
que	Spn	no
cuenta	Spn	no
?	PUNCT	no
”	PUNCT	no
,	PUNCT	no
tuiteó	Eng-AdaptedAng	yes
su	Spn	no
amigo	Spn	no
personal	Spn	no
Mariano	Spn	no
Martin	Spn	no
.	PUNCT	no
“	PUNCT	no
Lo	Spn	no
bueno	Spn	no
:	PUNCT	no
Máximo	Spn	no
no	Spn	no
es	Spn	no
mudo	Spn	no
.	PUNCT	no
Lo	Spn	no
malo	Spn	no
:	PUNCT	no
no	Spn	no
se	Spn	no
le	Spn	no
entiende	Spn	no
absolutamente	Spn	no
nada	Spn	no
”	PUNCT	no
,	PUNCT	no
decía	Spn	no
otro	Spn	no
tuit	Eng-AdaptedAng	yes
.	PUNCT	no
“	PUNCT	no
Psicólogos	Spn	no
para	Spn	no
todos	Spn	no
:	PUNCT	no
jugábamos	Spn	no
a	Spn	no
los	Spn	no
soldaditos	Spn	no
y	Spn	no
pasaba	Spn	no
Papá	Spn	no
y	Spn	no
rompía	Spn	no
todo	Spn	no
.	PUNCT	no
Máximo	Spn	no
Kirchner	Spn	no
”	PUNCT	no
,	PUNCT	no
otro	Spn	no
más	Spn	no
.	PUNCT	no
“	PUNCT	no
Nació	Spn	no
en	Spn	no
La	Spn	no
Plata	Spn	no
el	Spn	no
16	NUM	no
de	Spn	no
febrero	Spn	no
de	Spn	no
1977	NUM	no
.	PUNCT	no
Debería	Spn	no
haberse	Spn	no
llamado	Spn	no
Néstor	Spn	no
por	Spn	no
una	Spn	no
tradición	Spn	no
familiar	Spn	no
–	PUNCT	no
escribe	Spn	no
Laura	Spn	no
Di	Spn	no
Marco	Spn	no
en	Spn	no
su	Spn	no
libro	Spn	no
sobre	Spn	no
La	Spn	no
Cámpora	Spn	no
–	PUNCT	no
,	PUNCT	no
pero	Spn	no
Cristina	Spn	no
lo	Spn	no
impidió	Spn	no
y	Spn	no
sólo	Spn	no
negoció	Spn	no
el	Spn	no
segundo	Spn	no
nombre	Spn	no
:	PUNCT	no
Carlos	Spn	no
”	PUNCT	no
.	PUNCT	no
La	Spn	no
Presidenta	Spn	no
lo	Spn	no
llama	Spn	no
“	PUNCT	no
Osito	Spn	no
”	PUNCT	no
.	PUNCT	no
A	Spn	no
los	Spn	no
treinta	Spn	no
y	Spn	no
cinco	Spn	no
años	Spn	no
,	PUNCT	no
Máximo	Spn	no
tuvo	Spn	no
un	Spn	no
solo	Spn	no
trabajo	Spn	no
en	Spn	no
relación	Spn	no
de	Spn	no
dependencia	Spn	no
:	PUNCT	no
fue	Spn	no
en	Spn	no
el	Spn	no
año	Spn	no
2000	NUM	no
para	Spn	no
la	Spn	no
empresa	Spn	no
Petersen	Spn	no
,	PUNCT	no
Thiele	Spn	no
y	Spn	no
Cruz	Spn	no
,	PUNCT	no
propiedad	Spn	no
del	Spn	no
Grupo	Spn	no
Eskenazi	Spn	no
.	PUNCT	no
Cuando	Spn	no
terminó	Spn	no
el	Spn	no
secundario	Spn	no
en	Spn	no
la	Spn	no
escuela	Spn	no
pública	Spn	no
Guatemala	Spn	no
de	Spn	no
Río	Spn	no
Gallegos	Spn	no
viajó	Spn	no
a	Spn	no
La	Spn	no
Plata	Spn	no
para	Spn	no
estudiar	Spn	no
Derecho	Spn	no
:	PUNCT	no
no	Spn	no
llegó	Spn	no
a	Spn	no
completar	Spn	no
el	Spn	no
primer	Spn	no
año	Spn	no
.	PUNCT	no
Más	Spn	no
tarde	Spn	no
intentó	Spn	no
estudiar	Spn	no
periodismo	Spn	no
deportivo	Spn	no
en	Spn	no
TEA	Spn	no
,	PUNCT	no
pero	Spn	no
tampoco	Spn	no
completó	Spn	no
los	Spn	no
primeros	Spn	no
cursos	Spn	no
.	PUNCT	no
En	Spn	no
aquello	Spn	no
tenía	Spn	no
una	Spn	no
pequeña	Spn	no
experiencia	Spn	no
:	PUNCT	no
había	Spn	no
cubierto	Spn	no
los	Spn	no
vestuarios	Spn	no
para	Spn	no
un	Spn	no
programa	Spn	no
de	Spn	no
radio	Spn	no
de	Spn	no
Santa	Spn	no
Cruz	Spn	no
que	Spn	no
conducía	Spn	no
el	Spn	no
entonces	Spn	no
corresponsal	Spn	no
de	Spn	no
Clarín	Spn	no
en	Spn	no
Río	Spn	no
Gallegos	Spn	no
,	PUNCT	no
Wilmar	Spn	no
Caballero	Spn	no
.	PUNCT	no
“	PUNCT	no
Allá	Spn	no
por	Spn	no
el	Spn	no
2007	NUM	no
yo	Spn	no
tenía	Spn	no
un	Spn	no
espacio	Spn	no
en	Spn	no
la	Spn	no
radio	Spn	no
oficial	Spn	no
santacruceña	Spn	no
–	PUNCT	no
le	Spn	no
contó	Spn	no
Caballero	Spn	no
a	Spn	no
Noticias	Spn	no
–	PUNCT	no
y	Spn	no
Cristina	Spn	no
me	Spn	no
preguntó	Spn	no
si	Spn	no
no	Spn	no
le	Spn	no
podía	Spn	no
dar	Spn	no
laburo	Spn	no
a	Spn	no
Máximo	Spn	no
.	PUNCT	no
Hacíamos	Spn	no
los	Spn	no
partidos	Spn	no
más	Spn	no
importantes	Spn	no
de	Spn	no
la	Spn	no
fecha	Spn	no
desde	Spn	no
Capital	Spn	no
y	Spn	no
él	Spn	no
cubría	Spn	no
los	Spn	no
vestuarios	Spn	no
”	PUNCT	no
.	PUNCT	no
Oficialmente	Spn	no
,	PUNCT	no
Máximo	Spn	no
trabaja	Spn	no
en	Spn	no
la	Spn	no
inmobiliaria	Spn	no
Sancho	Spn	no
-	PUNCT	no
San	Spn	no
Felice	Spn	no
en	Spn	no
la	Spn	no
calle	Spn	no
Alberdi	Spn	no
43	NUM	no
de	Spn	no
Río	Spn	no
Gallegos	Spn	no
y	Spn	no
se	Spn	no
supone	Spn	no
empleado	Spn	no
de	Spn	no
la	Spn	no
firma	Spn	no
,	PUNCT	no
aunque	Spn	no
en	Spn	no
verdad	Spn	no
figura	Spn	no
como	Spn	no
miembro	Spn	no
fundador	Spn	no
y	Spn	no
vicepresidente	Spn	no
de	Spn	no
Negocios	Spn	no
Inmobiliarios	Spn	no
S.	X	no
A.	X	no
e	Spn	no
integra	Spn	no
con	Spn	no
sus	Spn	no
padres	Spn	no
las	Spn	no
sociedades	Spn	no
Los	Spn	no
Sauces	Spn	no
S.	X	no
A.	X	no
(	PUNCT	no
dedicada	Spn	no
a	Spn	no
negocios	Spn	no
inmobiliarios	Spn	no
,	PUNCT	no
hotelería	Spn	no
,	PUNCT	no
turismo	Spn	no
y	Spn	no
servicios	Spn	no
)	PUNCT	no
,	PUNCT	no
y	Spn	no
entre	Spn	no
2008	NUM	no
y	Spn	no
2010	NUM	no
integró	Spn	no
el	Spn	no
directorio	Spn	no
de	Spn	no
El	Spn	no
Chapel	Spn	no
S.	X	no
A.	X	no
,	PUNCT	no
dedicada	Spn	no
a	Spn	no
la	Spn	no
consultoría	Spn	no
.	PUNCT	no
Ante	Spn	no
la	Spn	no
AFIP	Spn	no
,	PUNCT	no
Máximo	Spn	no
es	Spn	no
un	Spn	no
trabajador	Spn	no
autónomo	Spn	no
categoría	Spn	no
T1	X	no
Cat	X	no
V	X	no
con	Spn	no
ingresos	Spn	no
de	Spn	no
treinta	Spn	no
mil	Spn	no
pesos	Spn	no
al	Spn	no
año	Spn	no
.	PUNCT	no
“	PUNCT	no
Máximo	Spn	no
va	Spn	no
y	Spn	no
viene	Spn	no
,	PUNCT	no
pero	Spn	no
últimamente	Spn	no
le	Spn	no
cuesta	Spn	no
soportar	Spn	no
la	Spn	no
presión	Spn	no
”	PUNCT	no
,	PUNCT	no
dicen	Spn	no
diversas	Spn	no
fuentes	Spn	no
a	Spn	no
Clarín	Spn	no
cuando	Spn	no
se	Spn	no
pregunta	Spn	no
por	Spn	no
el	Spn	no
domicilio	Spn	no
del	Spn	no
hijo	Spn	no
presidencial	Spn	no
.	PUNCT	no
Máximo	Spn	no
vive	Spn	no
con	Spn	no
su	Spn	no
novia	Spn	no
,	PUNCT	no
María	Spn	no
Rocío	Spn	no
García	Spn	no
,	PUNCT	no
un	Spn	no
año	Spn	no
mayor	Spn	no
,	PUNCT	no
en	Spn	no
la	Spn	no
casa	Spn	no
que	Spn	no
fuera	Spn	no
de	Spn	no
sus	Spn	no
padres	Spn	no
en	Spn	no
el	Spn	no
barrio	Spn	no
APAP	Spn	no
de	Spn	no
Río	Spn	no
Gallegos	Spn	no
sobre	Spn	no
la	Spn	no
calle	Spn	no
Cañadón	Spn	no
Seco	Spn	no
,	PUNCT	no
la	Spn	no
misma	Spn	no
casa	Spn	no
de	Spn	no
200	NUM	no
metros	Spn	no
cuadrados	Spn	no
en	Spn	no
la	Spn	no
que	Spn	no
vivió	Spn	no
con	Spn	no
su	Spn	no
novia	Spn	no
anterior	Spn	no
,	PUNCT	no
Tamara	Spn	no
Mori	Spn	no
.	PUNCT	no
Circula	Spn	no
por	Spn	no
la	Spn	no
ciudad	Spn	no
en	Spn	no
un	Spn	no
Honda	Spn	no
CRV	Spn	no
color	Spn	no
gris	Spn	no
,	PUNCT	no
seguido	Spn	no
siempre	Spn	no
por	Spn	no
una	Spn	no
custodia	Spn	no
.	PUNCT	no
“	PUNCT	no
Siempre	Spn	no
fue	Spn	no
un	Spn	no
pibe	Spn	no
muy	Spn	no
reservado	Spn	no
,	PUNCT	no
acá	Spn	no
casi	Spn	no
no	Spn	no
se	Spn	no
lo	Spn	no
ve	Spn	no
”	PUNCT	no
,	PUNCT	no
relató	Spn	no
a	Spn	no
Clarín	Spn	no
una	Spn	no
periodista	Spn	no
de	Spn	no
Gallegos	Spn	no
,	PUNCT	no
“	PUNCT	no
siempre	Spn	no
se	Spn	no
movió	Spn	no
con	Spn	no
el	Spn	no
mismo	Spn	no
círculo	Spn	no
de	Spn	no
amigos	Spn	no
.	PUNCT	no
En	Spn	no
la	Spn	no
secundaria	Spn	no
eran	Spn	no
cinco	Spn	no
y	Spn	no
se	Spn	no
denominaban	Spn	no
‘	PUNCT	no
la	Spn	no
esquina	Spn	no
’	PUNCT	no
porque	Spn	no
siempre	Spn	no
se	Spn	no
sentaban	Spn	no
en	Spn	no
la	Spn	no
misma	Spn	no
esquina	Spn	no
a	Spn	no
pasar	Spn	no
el	Spn	no
tiempo	Spn	no
.	PUNCT	no
El	Spn	no
caso	Spn	no
de	Spn	no
su	Spn	no
hermana	Spn	no
,	PUNCT	no
Florencia	Spn	no
,	PUNCT	no
es	Spn	no
distinto	Spn	no
:	PUNCT	no
cuando	Spn	no
viene	Spn	no
,	PUNCT	no
siempre	Spn	no
se	Spn	no
la	Spn	no
ve	Spn	no
con	Spn	no
sus	Spn	no
amigas	Spn	no
y	Spn	no
va	Spn	no
al	Spn	no
único	Spn	no
pub	Eng-UnadaptedAng	yes
de	Spn	no
Gallegos	Spn	no
con	Spn	no
ellas	Spn	no
.	PUNCT	no
El	Spn	no
año	Spn	no
pasado	Spn	no
se	Spn	no
armó	Spn	no
lío	Spn	no
con	Spn	no
Florencia	Spn	no
porque	Spn	no
no	Spn	no
quería	Spn	no
pagar	Spn	no
la	Spn	no
entrada	Spn	no
de	Spn	no
sus	Spn	no
amigas	Spn	no
al	Spn	no
pub	Eng-UnadaptedAng	yes
y	Spn	no
empezó	Spn	no
a	Spn	no
los	Spn	no
gritos	Spn	no
.	PUNCT	no
Eran	Spn	no
veinte	Spn	no
pesos	Spn	no
”	PUNCT	no
.	PUNCT	no
El	Spn	no
hermetismo	Spn	no
alimenta	Spn	no
el	Spn	no
mito	Spn	no
:	PUNCT	no
en	Spn	no
Gallegos	Spn	no
florecen	Spn	no
los	Spn	no
rumores	Spn	no
sobre	Spn	no
Máximo	Spn	no
,	PUNCT	no
las	Spn	no
drogas	Spn	no
y	Spn	no
el	Spn	no
alcohol	Spn	no
pero	Spn	no
,	PUNCT	no
aunque	Spn	no
algunas	Spn	no
fuentes	Spn	no
lo	Spn	no
afirman	Spn	no
off	Spn	no
the	Spn	no
record	Spn	no
,	PUNCT	no
ninguno	Spn	no
ha	Spn	no
podido	Spn	no
ser	Spn	no
probado	Spn	no
.	PUNCT	no
Tampoco	Spn	no
ninguna	Spn	no
de	Spn	no
las	Spn	no
mil	Spn	no
historias	Spn	no
sobre	Spn	no
su	Spn	no
operación	Spn	no
en	Spn	no
la	Spn	no
rodilla	Spn	no
.	PUNCT	no
De	Spn	no
aquella	Spn	no
noche	Spn	no
confusa	Spn	no
sólo	Spn	no
pudo	Spn	no
confirmarse	Spn	no
que	Spn	no
fueron	Spn	no
ochenta	Spn	no
mil	Spn	no
dólares	Spn	no
los	Spn	no
que	Spn	no
pagó	Spn	no
el	Spn	no
Estado	Spn	no
para	Spn	no
trasladar	Spn	no
al	Spn	no
hijo	Spn	no
de	Spn	no
la	Spn	no
Presidenta	Spn	no
a	Spn	no
un	Spn	no
hospital	Spn	no
privado	Spn	no
en	Spn	no
Buenos	Spn	no
Aires	Spn	no
.	PUNCT	no
A	Spn	no
Cristina	Spn	no
,	PUNCT	no
en	Spn	no
sus	Spn	no
discursos	Spn	no
,	PUNCT	no
le	Spn	no
encanta	Spn	no
hablar	Spn	no
del	Spn	no
Osito	Spn	no
:	PUNCT	no
“	PUNCT	no
Quiero	Spn	no
contarles	Spn	no
una	Spn	no
historia	Spn	no
–	PUNCT	no
confesó	Spn	no
la	Spn	no
Presidenta	Spn	no
durante	Spn	no
la	Spn	no
recepción	Spn	no
de	Spn	no
los	Spn	no
atletas	Spn	no
olímpicos	Spn	no
de	Spn	no
Londres	Spn	no
2012	NUM	no
–	PUNCT	no
,	PUNCT	no
me	Spn	no
va	Spn	no
a	Spn	no
matar	Spn	no
Máximo	Spn	no
,	PUNCT	no
pero	Spn	no
no	Spn	no
importa	Spn	no
.	PUNCT	no
Máximo	Spn	no
iba	Spn	no
al	Spn	no
colegio	Spn	no
,	PUNCT	no
año	Spn	no
83	NUM	no
,	PUNCT	no
y	Spn	no
saca	Spn	no
insuficiente	Spn	no
en	Spn	no
Educación	Spn	no
Física	Spn	no
.	PUNCT	no
Estaba	Spn	no
en	Spn	no
primer	Spn	no
o	Spn	no
segundo	Spn	no
grado	Spn	no
.	PUNCT	no
Entonces	Spn	no
me	Spn	no
fui	Spn	no
al	Spn	no
colegio	Spn	no
a	Spn	no
ver	Spn	no
al	Spn	no
profesor	Spn	no
.	PUNCT	no
Aclaro	Spn	no
que	Spn	no
yo	Spn	no
no	Spn	no
era	Spn	no
entonces	Spn	no
autoridad	Spn	no
de	Spn	no
nada	Spn	no
,	PUNCT	no
era	Spn	no
una	Spn	no
simple	Spn	no
abogada	Spn	no
.	PUNCT	no
El	Spn	no
profesor	Spn	no
,	PUNCT	no
que	Spn	no
era	Spn	no
un	Spn	no
señor	Spn	no
militar	Spn	no
,	PUNCT	no
me	Spn	no
dijo	Spn	no
que	Spn	no
le	Spn	no
había	Spn	no
puesto	Spn	no
insuficiente	Spn	no
porque	Spn	no
no	Spn	no
sabía	Spn	no
hacer	Spn	no
la	Spn	no
vertical	Spn	no
.	PUNCT	no
Entonces	Spn	no
yo	Spn	no
lo	Spn	no
mire	Spn	no
y	Spn	no
le	Spn	no
dije	Spn	no
:	PUNCT	no
“	PUNCT	no
Mire	Spn	no
,	PUNCT	no
yo	Spn	no
soy	Spn	no
abogada	Spn	no
,	PUNCT	no
mi	Spn	no
marido	Spn	no
también	Spn	no
es	Spn	no
abogado	Spn	no
,	PUNCT	no
somos	Spn	no
uno	Spn	no
de	Spn	no
los	Spn	no
estudios	Spn	no
más	Spn	no
importantes	Spn	no
de	Spn	no
Santa	Spn	no
Cruz	Spn	no
y	Spn	no
ninguno	Spn	no
de	Spn	no
los	Spn	no
dos	Spn	no
sabe	Spn	no
hacer	Spn	no
la	Spn	no
vertical	Spn	no
.	PUNCT	no
Nunca	Spn	no
aprendimos	Spn	no
a	Spn	no
hacer	Spn	no
la	Spn	no
vertical	Spn	no
porque	Spn	no
,	PUNCT	no
en	Spn	no
realidad	Spn	no
,	PUNCT	no
nunca	Spn	no
andábamos	Spn	no
dando	Spn	no
vueltas	Spn	no
carnero	Spn	no
,	PUNCT	no
sino	Spn	no
que	Spn	no
en	Spn	no
una	Spn	no
de	Spn	no
esas	Spn	no
lo	Spn	no
nuestro	Spn	no
era	Spn	no
la	Spn	no
lectura	Spn	no
…	PUNCT	no
Ahora	Spn	no
,	PUNCT	no
si	Spn	no
usted	Spn	no
le	Spn	no
preguntaba	Spn	no
al	Spn	no
chico	Spn	no
quién	Spn	no
era	Spn	no
el	Spn	no
presidente	Spn	no
en	Spn	no
ese	Spn	no
momento	Spn	no
,	PUNCT	no
seguro	Spn	no
que	Spn	no
sabía	Spn	no
”	PUNCT	no
.	PUNCT	no
La	Spn	no
actitud	Spn	no
de	Spn	no
mamá	Spn	no
hacia	Spn	no
el	Spn	no
Osito	Spn	no
es	Spn	no
ambigua	Spn	no
:	PUNCT	no
contó	Spn	no
hace	Spn	no
algunos	Spn	no
meses	Spn	no
cómo	Spn	no
le	Spn	no
cambiaba	Spn	no
los	Spn	no
pañales	Spn	no
y	Spn	no
estimula	Spn	no
,	PUNCT	no
a	Spn	no
la	Spn	no
vez	Spn	no
,	PUNCT	no
el	Spn	no
mito	Spn	no
de	Spn	no
prepararlo	Spn	no
para	Spn	no
entrar	Spn	no
por	Spn	no
la	Spn	no
puerta	Spn	no
grande	Spn	no
a	Spn	no
la	Spn	no
política	Spn	no
.	PUNCT	no
Algunos	Spn	no
empresarios	Spn	no
que	Spn	no
pidieron	Spn	no
reserva	Spn	no
de	Spn	no
su	Spn	no
nombre	Spn	no
juran	Spn	no
haber	Spn	no
recibido	Spn	no
llamadas	Spn	no
de	Spn	no
Máximo	Spn	no
o	Spn	no
de	Spn	no
gente	Spn	no
hablando	Spn	no
en	Spn	no
su	Spn	no
nombre	Spn	no
,	PUNCT	no
y	Spn	no
fuentes	Spn	no
de	Spn	no
su	Spn	no
entorno	Spn	no
afirman	Spn	no
la	Spn	no
preocupación	Spn	no
de	Spn	no
sus	Spn	no
padres	Spn	no
por	Spn	no
pagarle	Spn	no
cursos	Spn	no
de	Spn	no
oratoria	Spn	no
y	Spn	no
formación	Spn	no
política	Spn	no
.	PUNCT	no
Hace	Spn	no
un	Spn	no
par	Spn	no
de	Spn	no
años	Spn	no
contrataron	Spn	no
uno	Spn	no
de	Spn	no
esos	Spn	no
cursos	Spn	no
con	Spn	no
asesores	Spn	no
de	Spn	no
Rodríguez	Spn	no
Zapatero	Spn	no
en	Spn	no
España	Spn	no
y	Spn	no
Máximo	Spn	no
se	Spn	no
resistió	Spn	no
a	Spn	no
viajar	Spn	no
.	PUNCT	no
Terminó	Spn	no
haciéndolo	Spn	no
un	Spn	no
amigo	Spn	no
que	Spn	no
se	Spn	no
benefició	Spn	no
de	Spn	no
los	Spn	no
gastos	Spn	no
pagos	Spn	no
.	PUNCT	no
Varios	Spn	no
blogueros	Eng-AdaptedAng	yes
K	X	no
aseguran	Spn	no
que	Spn	no
Máximo	Spn	no
sigue	Spn	no
minuto	Spn	no
a	Spn	no
minuto	Spn	no
las	Spn	no
discusiones	Spn	no
en	Spn	no
la	Spn	no
red	Spn	no
,	PUNCT	no
aunque	Spn	no
ninguno	Spn	no
de	Spn	no
las	Spn	no
cuatro	Spn	no
cuentas	Spn	no
de	Spn	no
Twitter	Eng-NE	no
que	Spn	no
llevan	Spn	no
su	Spn	no
nombre	Spn	no
es	Spn	no
oficial	Spn	no
,	PUNCT	no
y	Spn	no
hay	Spn	no
quienes	Spn	no
afirman	Spn	no
que	Spn	no
han	Spn	no
recibido	Spn	no
tuits	Eng-AdaptedAng	yes
de	Spn	no
Máximo	Spn	no
con	Spn	no
felicitaciones	Spn	no
luego	Spn	no
de	Spn	no
retrucar	Spn	no
a	Spn	no
algún	Spn	no
opositor	Spn	no
.	PUNCT	no
Tiene	Spn	no
línea	Spn	no
directa	Spn	no
con	Spn	no
Carlos	Spn	no
Figueroa	Spn	no
,	PUNCT	no
el	Spn	no
notero	Spn	no
de	Spn	no
Duro	Spn	no
de	Spn	no
domar	Spn	no
que	Spn	no
aterrizó	Spn	no
como	Spn	no
gerente	Spn	no
de	Spn	no
noticias	Spn	no
en	Spn	no
Canal	Spn	no
7	NUM	no
,	PUNCT	no
y	Spn	no
con	Spn	no
el	Spn	no
ex	Spn	no
bloggero	Eng-AdaptedAng	yes
y	Spn	no
actual	Spn	no
presidente	Spn	no
de	Spn	no
Télam	Spn	no
,	PUNCT	no
Santiago	Spn	no
“	PUNCT	no
Patucho	Spn	no
”	PUNCT	no
Alvarez	PUNCT	no
.	PUNCT	no
Fue	Spn	no
Máximo	Spn	no
quien	Spn	no
promovió	Spn	no
el	Spn	no
encuentro	Spn	no
de	Spn	no
Kirchner	Spn	no
con	Spn	no
Miguel	Spn	no
Bonasso	Spn	no
luego	Spn	no
de	Spn	no
leer	Spn	no
“	PUNCT	no
Recuerdo	Spn	no
de	Spn	no
la	Spn	no
muerte	Spn	no
”	PUNCT	no
,	PUNCT	no
y	Spn	no
hay	Spn	no
quienes	Spn	no
aseguran	Spn	no
que	Spn	no
Máximo	Spn	no
lleva	Spn	no
adelante	Spn	no
una	Spn	no
especie	Spn	no
de	Spn	no
entrenamiento	Spn	no
mediático	Spn	no
con	Spn	no
un	Spn	no
equipo	Spn	no
del	Spn	no
que	Spn	no
participarían	Spn	no
la	Spn	no
actriz	Spn	no
Andrea	Spn	no
del	Spn	no
Boca	Spn	no
y	Spn	no
algunos	Spn	no
asesores	Spn	no
del	Spn	no
gobierno	Spn	no
.	PUNCT	no
A	Spn	no
los	Spn	no
treinta	Spn	no
y	Spn	no
cinco	Spn	no
años	Spn	no
el	Spn	no
chico	Spn	no
dijo	Spn	no
sus	Spn	no
primeras	Spn	no
palabras	Spn	no
.	PUNCT	no
Habrá	Spn	no
que	Spn	no
ver	Spn	no
cuándo	Spn	no
y	Spn	no
cómo	Spn	no
pronuncia	Spn	no
las	Spn	no
segundas	Spn	no
.	PUNCT	no
Imprimir	Spn	no
Enviar	Spn	no
Mucha	Spn	no
lucha	Spn	no
y	Spn	no
poco	Spn	no
juego	Spn	no
en	Spn	no
Catamarca	Spn	no
|	PUNCT	no
TélamSAN	X	no
FERNANDO	Spn	no
DEL	Spn	no
VALLE	Spn	no
DE	Spn	no
CATAMARCA	Spn	no
.	PUNCT	no
-	PUNCT	no
Arsenal	Spn	no
debió	Spn	no
esperar	Spn	no
hasta	Spn	no
los	Spn	no
penales	Spn	no
,	PUNCT	no
pero	Spn	no
allí	Spn	no
encontró	Spn	no
una	Spn	no
justa	Spn	no
consagración	Spn	no
,	PUNCT	no
al	Spn	no
derrotar	Spn	no
a	Spn	no
Boca	Spn	no
por	Spn	no
4	NUM	no
a	Spn	no
3	NUM	no
,	PUNCT	no
tras	Spn	no
un	Spn	no
pálido	Spn	no
0	NUM	no
a	Spn	no
0	NUM	no
en	Spn	no
los	Spn	no
90	NUM	no
minutos	Spn	no
.	PUNCT	no
El	Spn	no
hombre	Spn	no
que	Spn	no
se	Spn	no
vistió	Spn	no
de	Spn	no
héroe	Spn	no
fue	Spn	no
Cristian	Spn	no
Campestrini	Spn	no
,	PUNCT	no
que	Spn	no
detuvo	Spn	no
tres	Spn	no
penales	Spn	no
con	Spn	no
una	Spn	no
enorme	Spn	no
categoría	Spn	no
(	PUNCT	no
a	Spn	no
Caruzzo	Spn	no
,	PUNCT	no
a	Spn	no
Paredes	Spn	no
y	Spn	no
a	Spn	no
Colazo	Spn	no
)	PUNCT	no
y	Spn	no
le	Spn	no
dio	Spn	no
una	Spn	no
nueva	Spn	no
copa	Spn	no
a	Spn	no
los	Spn	no
del	Spn	no
Viaducto	Spn	no
Un	Spn	no
emocionado	Spn	no
Campestrini	Spn	no
declaró	Spn	no
:	PUNCT	no
'	PUNCT	no
La	Spn	no
verdad	Spn	no
,	PUNCT	no
ganar	Spn	no
de	Spn	no
la	Spn	no
manera	Spn	no
que	Spn	no
se	Spn	no
ganó	Spn	no
,	PUNCT	no
estamos	Spn	no
muy	Spn	no
contentos	Spn	no
